,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012",2013Q1,2013Q2,2013Q3,2013Q4,"2,013",2014Q1,2014Q2,2014Q3,2014Q4,"2,014",2015Q1,2015Q2,2015Q3,2015Q4,"2,015",2016Q1,2016Q2,2016Q3,2016Q4,"2,016",2017Q1,2017Q2,2017Q3,2017Q4,"2,017",2018Q1,2018Q2,2018Q3,2018Q4,"2,018",2019Q1,2019Q2,2019Q3,2019Q4,"2,019",2020Q1,2020Q2,2020Q3,2020Q4,"2,020",2021Q1,2021Q2,2021Q3,2021Q4,"2,021",2022Q1,2022Q2,,,,,,,,,,,,,,,,,,
,Table 2,FDI inward flows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022p,,,,,Half-year ,,,,Most recent quarters,,,,,,,,,,
,In USD millions ,Y,Y,Y,Y,Y,Y,Y,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,,Growth rates 2021,,Q3-Q4 2021,Q1-Q2 2022,GR,,Q1 2022,Q2 2022,GR,,,,,,,,
NZL,New Zealand,"1,204","3,707","3,589","3,117",701,-61,"4,229","3,502",763,-66,726,438,"1,860",601,202,-588,"2,221","2,437",860,25,"-1,033",-164,-311,886,421,938,734,"2,979",396,"1,075",-75,"1,325","2,721",907,"-1,160","1,561",989,"2,297",528,"3,321",428,-5,"4,273",749,403,"1,083","1,654","3,889","2,315","1,380",-506,803,"3,992","1,706","3,497",,3%,,297,"5,202",1651%,,"1,706","3,497",105%,,,,,,,,
NOR,Norway,"2,181","10,524","7,993","10,237","16,637","17,043","20,608","16,655",,,,,"-5,916",,,,,"19,504",,,,,"-2,515",,,,,"-3,900",,,,,"-5,922",,,,,226,,,,,"17,354",,,,,"-4,269",-620,"6,432","4,274","3,482","13,569","-6,423","10,341",,-,,"7,757","3,919",-49%,,"-6,423","10,341",-,,,,,,,,
POL,Poland*,"8,207","14,576","19,855","12,279","10,043","12,800","15,953","12,441",,,,,"3,626","5,138","5,923","2,664","3,887","17,612","3,346","2,030","5,629","2,058","13,063","8,968","1,106","3,166","3,357","16,596","4,034","-1,335","3,651","3,187","9,537","7,048","1,873","6,185","1,270","16,376","8,275","2,725","3,714","-1,388","13,326","7,037","2,208","3,508","2,521","15,274","9,902","3,769","10,093","5,698","29,462","13,520","6,086",,93%,,"15,791","19,606",24%,,"13,520","6,086",-55%,,,,,,,,
PRT,Portugal*,"3,010","7,477","3,021","2,194","1,342","1,517","5,997","8,157",12,-862,"3,155","5,910","8,216","-1,207","3,440","3,029",-702,"4,560","1,517","5,296",830,"1,537","9,180","1,607","1,307","1,078","1,692","5,684","3,418","2,559",700,236,"6,912","3,030","1,952","1,642",551,"7,175","2,643","4,431","2,711","2,466","12,251","1,419",-187,"1,257","5,177","7,666",883,"1,647","3,639","2,511","8,681","2,533","3,633",,13%,,"6,149","6,166",0%,,"2,533","3,633",43%,,,,,,,,
SVK,Slovak  Republic,"3,108","5,806","4,018","4,858",-7,"1,770","2,146","2,826",-283,-931,888,-278,-604,-294,-741,97,426,-512,342,-675,73,366,106,426,"-1,160",846,693,805,943,113,747,"2,206","4,008",315,-907,"1,088","1,147","1,643",276,-87,964,"1,357","2,511",81,-757,"-1,932",210,"-2,398",-734,307,432,53,59,639,653,,-,,485,"1,292",166%,,639,653,2%,,,,,,,,
SVN,Slovenia,561,707,757,"1,216",-477,106,"1,088",339,-17,-384,78,171,-151,-79,874,414,-159,"1,050",421,285,307,661,"1,675",397,452,411,-16,"1,245",384,18,189,305,896,150,332,559,343,"1,383",456,347,291,369,"1,463",212,94,11,-98,219,211,"1,303",480,-221,"1,773",599,656,,708%,,259,"1,254",385%,,599,656,10%,,,,,,,,
ESP,Spain,"27,187","32,624","71,660","78,438","13,632","40,331","32,412","24,667","11,491","2,674","1,142","13,037","28,342","7,162","9,090","11,794","-5,474","22,571","2,872","4,295","10,050","-8,660","8,557","9,477","7,272","10,754","4,036","31,538","14,219","-2,740","1,951","28,447","41,877","11,081","30,089","21,419","-5,161","57,427","10,135",-864,"6,418","2,837","18,526","7,965","9,609",622,"-4,417","13,779","7,636","6,842",46,"4,423","18,947","12,635","8,650",,38%,,"4,469","21,285",376%,,"12,635","8,650",-32%,,,,,,,,
SWE,Sweden,"11,627","27,552","28,849","36,855","10,095",141,"12,946","16,349",-45,-251,"8,696","-4,274","4,125","8,393","2,674","3,135","-10,171","4,032","2,776","-1,121","6,422",372,"8,449","4,611",819,"13,135",588,"19,153","6,538","2,748","1,799","1,426","12,511","-2,193",250,"7,045","-1,296","3,807","6,275","1,933",140,763,"9,111","21,299","-1,135","4,048","-5,085","19,127","7,636","8,400","1,525","8,233","25,794","5,013","17,594",,35%,,"9,758","22,607",132%,,"5,013","17,594",251%,,,,,,,,
CHE,Switzerland*,,,,,,,,,,,,,,,,,,"11,384",,,,,"71,228","23,457","6,676","21,650","33,202","84,983","11,863","94,015","-7,322","20,579","119,136","-58,700","-8,804","-37,188","8,980","-95,712","-13,706","-8,376","23,742","-92,867","-91,207","-32,214","-2,465","-19,430","11,922","-42,187","14,630","4,782","-6,096","-1,217","12,098","2,326","7,194",,-,,"-7,314","9,521",-,,"2,326","7,194",209%,,,,,,,,
TUR,Türkiye ,"10,031","20,185","22,047","19,851","8,585","9,086","16,136","13,743","3,061","2,462","3,768","4,275","13,565","4,446","2,852","2,642","3,034","12,973","4,401","3,170","6,445","4,961","18,978","2,874","2,849","3,905","4,025","13,653","2,802","2,045","2,838","3,274","10,959","2,228","2,872","3,122","4,313","12,535","2,930","2,170","1,968","2,594","9,662","2,487",642,"2,061","2,544","7,734","2,169","2,186","4,426","3,585","12,366","1,915","3,504",,60%,,"8,012","5,419",-32%,,"1,915","3,504",83%,,,,,,,,
