"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",0,"Z"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",0,"Z"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",0,"Z"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",0,"Z"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",,"C"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",,"C"
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",,"C"
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",25037.926,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",30161.886,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",21722.373,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",23635.501,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",34032.142,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",25588.505,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",27250.056,
"FIN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",27848.816,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2005",399.918,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2006",454.365,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2007",437.213,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2008",410.551,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2009",437.977,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2010",446.285,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2011",415.803,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",571.24,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",558.544,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",451.645,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",496.462,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",678.824,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",847.925,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",1102.588,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",750.393,
"FRA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",877.408,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2005",87672.959,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2006",130263.229,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2007",159207.54,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2008",139304.93,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2009",136733.9,
"FRA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2010",150649.385,
