,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,,ITALY,58,2017,-,..,3,..,242,204,..,44,86,1,74,"1,103",178,343,139,67,299,51,"4,843",,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,..,2,331,192,205,..,45,105,-12,61,"1,400",106,125,174,127,308,55,"6,170",,,,,,,,,,,,,,,,,,,
,,,,2019,..,..,9,202,313,125,..,42,77,..,..,"1,714",90,74,228,558,..,48,"7,225",,,,,,,,,,,,,,,,,,,
,, ,60,2020,51,-42,26,231,437,263,..,51,229,..,5,"1,738",67,100,488,700,717,104,"9,914",,,,,,,,,,,,,,,,,,,
,,LATVIA,58,2017,-,-,-,..,-,..,-,-,-,-,..,..,..,-,-,-,-,-,8,,,,,,,,,,,,,,,,,,,
,, ,59,2018,-,-,-,..,-,..,-,..,-,-,..,..,..,-,-,-,-,-,34,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,..,-,..,-,..,-,-,..,..,..,..,2,-,-,-,35,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,-,-,..,-,..,-,-,-,-,..,3,..,1,7,-,-,-,32,,,,,,,,,,,,,,,,,,,
,,LITHUANIA,58,2017,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,..,-,..,8,,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,-,-,-,-,..,-,-,-,1,..,1,9,2,..,-,-,22,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,-,-,-,..,-,..,-,8,1,-,108,-,..,..,-,107,,,,,,,,,,,,,,,,,,,
,, ,60,2020,-,-,..,-,-,-,..,-,-,-,5,7,2,2,18,1,-,-,38,,,,,,,,,,,,,,,,,,,
,,LUXEMBOURG,14,2017,..,"6,180","1,321",304,"4,469","2,834","4,392",984,"20,932",..,"1,052","32,193",761,"6,111","15,078","4,812","4,596","4,432","111,367",,,,,,,,,,,,,,,,,,,
,,,15,2018,..,..,"2,017",436,"5,791","3,488",234,"1,058","17,807",..,"1,358","30,901","2,088","9,197","16,250","7,221","5,207","3,469","108,703",,,,,,,,,,,,,,,,,,,
,,,,2019,1,"1,843","2,635",389,"1,952",..,492,"1,062","30,460",..,"9,134","27,738","1,226","16,218","20,313","10,142","4,379","3,594","149,901",,,,,,,,,,,,,,,,,,,
